DATE,ACTLISCOUUS
2016-07-01,1463302.0
2016-08-01,1460374.0
2016-09-01,1443402.0
2016-10-01,1407917.0
2016-11-01,1339976.0
2016-12-01,1236247.0
2017-01-01,1154365.0
2017-02-01,1151363.0
2017-03-01,1172985.0
2017-04-01,1198710.0
2017-05-01,1254171.0
2017-06-01,1292705.0
2017-07-01,1323012.0
2017-08-01,1325717.0
2017-09-01,1308994.0
2017-10-01,1287705.0
2017-11-01,1228464.0
2017-12-01,1128161.0
2018-01-01,1044267.0
2018-02-01,1045478.0
2018-03-01,1067579.0
2018-04-01,1102356.0
2018-05-01,1157199.0
2018-06-01,1216767.0
2018-07-01,1262151.0
2018-08-01,1285879.0
2018-09-01,1302131.0
2018-10-01,1304892.0
2018-11-01,1273276.0
2018-12-01,1186103.0
2019-01-01,1110890.0
2019-02-01,1102935.0
2019-03-01,1105848.0
2019-04-01,1138052.0
2019-05-01,1181052.0
2019-06-01,1219972.0
2019-07-01,1240005.0
2019-08-01,1231289.0
2019-09-01,1141133.0
2019-10-01,1208376.0
2019-11-01,1143711.0
2019-12-01,1034214.0
2020-01-01,951957.0
2020-02-01,928965.0
2020-03-01,937548.0
2020-04-01,941953.0
2020-05-01,928565.0
2020-06-01,871698.0
2020-07-01,822960.0
2020-08-01,779663.0
2020-09-01,749476.0
2020-10-01,734125.0
2020-11-01,683901.0
2020-12-01,612375.0
2021-01-01,531839.0
2021-02-01,464973.0
2021-03-01,440639.0
2021-04-01,435714.0
2021-05-01,447710.0
2021-06-01,492486.0
2021-07-01,546757.0
2021-08-01,574701.0
2021-09-01,578128.0
2021-10-01,565767.0
2021-11-01,512296.0
2021-12-01,445350.0
2022-01-01,377001.0
2022-02-01,346544.0
2022-03-01,354045.0
2022-04-01,380004.0
2022-05-01,479497.0
2022-06-01,573695.0
2022-07-01,691713.0
2022-08-01,726871.0
2022-09-01,731579.0
2022-10-01,752820.0
2022-11-01,750279.0
2022-12-01,681000.0
2023-01-01,616951.0
2023-02-01,579358.0
2023-03-01,562565.0
2023-04-01,563598.0
